item_id,order_id,food_id,quantity,unit_price
1,1,19,2,190.00
2,1,52,3,125.00
3,1,110,2,250.00
4,2,164,3,93.00
5,2,182,3,120.00
6,2,250,1,120.00
7,2,184,2,68.00
8,3,480,2,228.00
9,3,396,2,91.00
10,3,314,2,132.00
11,3,1,3,65.00
12,4,582,3,160.00
13,4,568,3,300.00
14,4,590,2,240.00
15,5,674,1,455.00
16,5,717,2,160.00
17,5,652,3,235.00
18,6,130,3,84.00
19,6,737,3,259.00
20,6,738,1,287.00
21,6,777,2,67.00
22,7,879,2,45.00
23,7,243,1,220.00
24,7,842,3,119.00
25,8,911,1,120.00
26,8,921,1,12.00
27,8,911,1,120.00
28,9,942,3,150.00
29,9,928,2,80.00
30,9,205,3,50.00
31,9,927,2,60.00
32,10,946,1,25.00
33,10,205,3,50.00
34,10,943,2,60.00
35,11,697,3,65.00
36,11,954,2,169.00
37,12,1078,3,70.00
38,13,833,1,209.00
39,13,850,2,169.00
40,13,856,1,229.00
41,13,851,2,229.00
42,13,870,1,199.00
43,14,1167,1,50.00
44,15,544,3,180.00
45,15,1222,2,50.00
46,15,835,1,190.00
47,15,835,1,190.00
48,16,1292,3,70.00
49,16,918,2,60.00
50,16,1293,2,60.00
51,16,568,3,190.00
52,17,1356,1,79.00
53,17,1355,2,69.00
54,17,1353,2,129.00
55,18,1380,2,239.00
56,19,1460,3,60.00
57,19,1480,1,39.00
58,19,1555,1,70.00
59,19,1512,1,80.00
60,20,218,1,77.00
61,20,14,3,149.00
62,20,1028,3,69.00
63,20,1566,3,89.00
64,20,1567,1,68.00
65,21,1592,3,300.00
66,21,1592,3,300.00
67,21,1590,3,290.00
68,21,1592,3,300.00
69,21,1275,2,300.00
70,22,1583,2,8.00
71,22,1590,3,290.00
72,22,1277,1,270.00
73,22,1605,1,330.00
74,22,1603,2,260.00
75,23,1238,3,120.00
76,23,23,3,140.00
77,24,1704,2,32.00
78,24,1688,3,75.00
79,24,1688,3,75.00
80,25,1,3,55.00
81,26,1964,3,80.00
82,26,1958,2,100.00
83,27,2113,3,200.00
84,27,1225,2,30.00
85,27,811,1,220.00
86,27,819,3,220.00
87,28,2065,3,80.00
88,29,36,3,150.00
89,29,1243,3,130.00
90,29,2282,3,150.00
91,29,2280,2,320.00
92,30,2342,2,75.00
93,30,2335,3,109.00
94,31,2628,2,150.00
95,31,2488,3,250.00
96,32,798,2,160.00
97,32,243,2,299.00
98,32,2673,1,35.00
99,32,2657,2,25.00
100,33,1074,2,25.00
101,33,2707,2,70.00
102,34,2732,2,60.00
103,35,1227,2,60.00
104,35,2740,1,120.00
105,35,2747,1,90.00
106,35,808,2,115.00
107,35,2745,3,85.00
108,36,2805,1,100.00
109,37,910,1,70.00
110,38,1129,2,50.00
111,38,2868,1,15.00
112,38,2752,2,8.00
113,38,2874,2,50.00
114,39,2885,1,229.00
115,39,2885,1,229.00
116,39,2888,3,90.00
117,39,2573,2,50.00
118,40,2900,3,50.00
119,41,1246,1,60.00
120,41,2908,1,40.00
121,41,2904,1,50.00
122,41,2911,1,50.00
123,42,910,3,70.00
124,43,2942,3,40.00
125,43,760,3,55.00
126,44,3003,1,12.00
127,44,3005,3,80.00
128,44,214,3,25.00
129,45,1246,2,60.00
130,46,3023,1,79.00
131,46,3027,1,145.00
132,46,3031,2,105.00
133,46,3040,3,145.00
134,47,3060,2,50.00
135,47,2471,1,80.00
136,47,3067,1,70.00
137,47,3075,1,140.00
138,48,2100,3,189.00
139,49,3174,2,299.00
140,49,3121,1,99.00
141,50,3214,3,139.00
142,50,3200,2,99.00
143,50,125,3,90.00
144,51,3223,2,60.00
145,51,2982,3,90.00
146,52,1239,3,150.00
147,52,1207,3,40.00
148,52,3246,1,50.00
149,53,618,3,130.00
150,53,697,1,95.00
151,53,3384,1,235.00
152,53,615,2,160.00
153,54,3471,1,30.00
154,54,330,1,30.00
155,54,3445,3,65.00
156,54,3445,1,65.00
157,54,3471,2,30.00
158,55,1686,3,70.00
159,55,3524,3,60.00
160,55,315,1,70.00
161,55,117,3,45.00
162,56,213,1,10.00
163,56,2732,3,30.00
164,56,3539,3,30.00
165,57,1243,2,40.00
166,57,118,3,60.00
167,57,330,1,40.00
168,57,213,2,15.00
169,57,3202,1,130.00
170,58,217,2,25.00
171,58,3571,3,55.00
172,59,216,3,30.00
173,59,3609,1,42.00
174,59,3598,3,570.00
175,59,3615,2,150.00
176,59,1028,2,50.00
177,60,3618,2,35.00
178,61,912,2,99.00
179,61,3664,2,20.00
180,61,3644,1,80.00
181,61,1221,1,70.00
182,61,802,2,100.00
183,62,1190,1,240.00
184,62,568,2,140.00
185,62,3292,1,210.00
